date,use,demand (TWh)
2025-02-10,"NTS Energy Offtaken, Powerstations Total",0.523016581
2025-02-09,"NTS Energy Offtaken, Industrial Offtake Total",0.04201442
2025-02-09,"NTS Energy Offtaken, LDZ Offtake Total",2.220474846
2025-02-09,"NTS Energy Offtaken, Powerstations Total",0.374437331
2025-02-08,"NTS Energy Offtaken, Industrial Offtake Total",0.052072682
2025-02-08,"NTS Energy Offtaken, LDZ Offtake Total",2.275746251
2025-02-08,"NTS Energy Offtaken, Powerstations Total",0.659059306
2025-02-07,"NTS Energy Offtaken, Industrial Offtake Total",0.042216974
2025-02-07,"NTS Energy Offtaken, LDZ Offtake Total",2.456683296
2025-02-07,"NTS Energy Offtaken, Powerstations Total",0.347857672
2025-02-06,"NTS Energy Offtaken, Industrial Offtake Total",0.05074407
2025-02-06,"NTS Energy Offtaken, LDZ Offtake Total",2.281218619
2025-02-06,"NTS Energy Offtaken, Powerstations Total",0.718555784
2025-02-05,"NTS Energy Offtaken, Industrial Offtake Total",0.062404474
2025-02-05,"NTS Energy Offtaken, LDZ Offtake Total",2.191853763
2025-02-05,"NTS Energy Offtaken, Powerstations Total",0.819485049
2025-02-04,"NTS Energy Offtaken, Industrial Offtake Total",0.040819573
2025-02-04,"NTS Energy Offtaken, LDZ Offtake Total",2.002301652
2025-02-04,"NTS Energy Offtaken, Powerstations Total",0.455426891
2025-02-03,"NTS Energy Offtaken, Industrial Offtake Total",0.042773253
2025-02-03,"NTS Energy Offtaken, LDZ Offtake Total",2.093298748
2025-02-03,"NTS Energy Offtaken, Powerstations Total",0.626318048
2025-02-02,"NTS Energy Offtaken, Industrial Offtake Total",0.049376942
2025-02-02,"NTS Energy Offtaken, LDZ Offtake Total",2.060894522
2025-02-02,"NTS Energy Offtaken, Powerstations Total",0.551082869
2025-02-01,"NTS Energy Offtaken, Industrial Offtake Total",0.0452369
2025-02-01,"NTS Energy Offtaken, LDZ Offtake Total",2.076352542
2025-02-01,"NTS Energy Offtaken, Powerstations Total",0.53133471
2025-01-31,"NTS Energy Offtaken, Industrial Offtake Total",0.070570173
2025-01-31,"NTS Energy Offtaken, LDZ Offtake Total",2.178664305
2025-01-31,"NTS Energy Offtaken, Powerstations Total",0.865284387
2025-01-30,"NTS Energy Offtaken, Industrial Offtake Total",0.050121973
2025-01-30,"NTS Energy Offtaken, LDZ Offtake Total",2.279150205
2025-01-30,"NTS Energy Offtaken, Powerstations Total",0.67592326
2025-01-29,"NTS Energy Offtaken, Industrial Offtake Total",0.044591405
2025-01-29,"NTS Energy Offtaken, LDZ Offtake Total",2.119984931
2025-01-29,"NTS Energy Offtaken, Powerstations Total",0.465266588
2025-01-28,"NTS Energy Offtaken, Industrial Offtake Total",0.04950461
2025-01-28,"NTS Energy Offtaken, LDZ Offtake Total",2.043807112
2025-01-28,"NTS Energy Offtaken, Powerstations Total",0.413010472
2025-01-27,"NTS Energy Offtaken, Industrial Offtake Total",0.045068451
2025-01-27,"NTS Energy Offtaken, LDZ Offtake Total",2.139046102
2025-01-27,"NTS Energy Offtaken, Powerstations Total",0.308794868
2025-01-26,"NTS Energy Offtaken, Industrial Offtake Total",0.044202214
2025-01-26,"NTS Energy Offtaken, LDZ Offtake Total",2.228343749
2025-01-26,"NTS Energy Offtaken, Powerstations Total",0.230760137
2025-01-25,"NTS Energy Offtaken, Industrial Offtake Total",0.046330688
2025-01-25,"NTS Energy Offtaken, LDZ Offtake Total",2.08518141
2025-01-25,"NTS Energy Offtaken, Powerstations Total",0.320780938
2025-01-24,"NTS Energy Offtaken, Industrial Offtake Total",0.044000841
2025-01-24,"NTS Energy Offtaken, LDZ Offtake Total",2.104000524
2025-01-24,"NTS Energy Offtaken, Powerstations Total",0.313659803
2025-01-23,"NTS Energy Offtaken, Industrial Offtake Total",0.047475102
2025-01-23,"NTS Energy Offtaken, LDZ Offtake Total",2.316646193
2025-01-23,"NTS Energy Offtaken, Powerstations Total",0.522680793
2025-01-22,"NTS Energy Offtaken, Industrial Offtake Total",0.082090741
2025-01-22,"NTS Energy Offtaken, LDZ Offtake Total",2.380519186
2025-01-22,"NTS Energy Offtaken, Powerstations Total",0.995226692
2025-01-21,"NTS Energy Offtaken, Industrial Offtake Total",0.083551422
2025-01-21,"NTS Energy Offtaken, LDZ Offtake Total",2.350904663
2025-01-21,"NTS Energy Offtaken, Powerstations Total",1.039675818
2025-01-20,"NTS Energy Offtaken, Industrial Offtake Total",0.08885451
2025-01-20,"NTS Energy Offtaken, LDZ Offtake Total",2.460102863
2025-01-20,"NTS Energy Offtaken, Powerstations Total",1.076491696
2025-01-19,"NTS Energy Offtaken, Industrial Offtake Total",0.079965861
2025-01-19,"NTS Energy Offtaken, LDZ Offtake Total",2.394439419
2025-01-19,"NTS Energy Offtaken, Powerstations Total",0.973497411
2025-01-18,"NTS Energy Offtaken, Industrial Offtake Total",0.072912541
2025-01-18,"NTS Energy Offtaken, LDZ Offtake Total",2.233519134
2025-01-18,"NTS Energy Offtaken, Powerstations Total",0.875326757
2025-01-17,"NTS Energy Offtaken, Industrial Offtake Total",0.079686593
2025-01-17,"NTS Energy Offtaken, LDZ Offtake Total",2.127925416
2025-01-17,"NTS Energy Offtaken, Powerstations Total",0.890394922
2025-01-16,"NTS Energy Offtaken, Industrial Offtake Total",0.074691746
2025-01-16,"NTS Energy Offtaken, LDZ Offtake Total",2.129192233
2025-01-16,"NTS Energy Offtaken, Powerstations Total",0.848483605
2025-01-15,"NTS Energy Offtaken, Industrial Offtake Total",0.076074745
2025-01-15,"NTS Energy Offtaken, LDZ Offtake Total",1.908926659
2025-01-15,"NTS Energy Offtaken, Powerstations Total",0.920849165
2025-01-14,"NTS Energy Offtaken, Industrial Offtake Total",0.063648443
2025-01-14,"NTS Energy Offtaken, LDZ Offtake Total",2.087903722
2025-01-14,"NTS Energy Offtaken, Powerstations Total",0.833247962
2025-01-13,"NTS Energy Offtaken, Industrial Offtake Total",0.05958835
2025-01-13,"NTS Energy Offtaken, LDZ Offtake Total",2.409125354
2025-01-13,"NTS Energy Offtaken, Powerstations Total",0.664611568
2025-01-12,"NTS Energy Offtaken, Industrial Offtake Total",0.063813247
2025-01-12,"NTS Energy Offtaken, LDZ Offtake Total",2.546335583
2025-01-12,"NTS Energy Offtaken, Powerstations Total",0.704350751
2025-01-11,"NTS Energy Offtaken, Industrial Offtake Total",0.081003844
2025-01-11,"NTS Energy Offtaken, LDZ Offtake Total",2.755276837
2025-01-11,"NTS Energy Offtaken, Powerstations Total",0.863864488
2025-01-10,"NTS Energy Offtaken, Industrial Offtake Total",0.089012281
2025-01-10,"NTS Energy Offtaken, LDZ Offtake Total",2.970121576
2025-01-10,"NTS Energy Offtaken, Powerstations Total",0.935033351
2025-01-09,"NTS Energy Offtaken, Industrial Offtake Total",0.081032806
2025-01-09,"NTS Energy Offtaken, LDZ Offtake Total",2.80589747
2025-01-09,"NTS Energy Offtaken, Powerstations Total",0.79344037
2025-01-08,"NTS Energy Offtaken, Industrial Offtake Total",0.092200681
2025-01-08,"NTS Energy Offtaken, LDZ Offtake Total",2.907227367
2025-01-08,"NTS Energy Offtaken, Powerstations Total",0.885605589
2025-01-07,"NTS Energy Offtaken, Industrial Offtake Total",0.062160638
2025-01-07,"NTS Energy Offtaken, LDZ Offtake Total",2.542392496
2025-01-07,"NTS Energy Offtaken, Powerstations Total",0.517738679
2025-01-06,"NTS Energy Offtaken, Industrial Offtake Total",0.045339926
2025-01-06,"NTS Energy Offtaken, LDZ Offtake Total",2.343083512
2025-01-06,"NTS Energy Offtaken, Powerstations Total",0.38447841
2025-01-05,"NTS Energy Offtaken, Industrial Offtake Total",0.041834897
2025-01-05,"NTS Energy Offtaken, LDZ Offtake Total",2.195735739
2025-01-05,"NTS Energy Offtaken, Powerstations Total",0.363409794
2025-01-04,"NTS Energy Offtaken, Industrial Offtake Total",0.056103099
2025-01-04,"NTS Energy Offtaken, LDZ Offtake Total",2.469608442
2025-01-04,"NTS Energy Offtaken, Powerstations Total",0.616917993
2025-01-03,"NTS Energy Offtaken, Industrial Offtake Total",0.045376975
2025-01-03,"NTS Energy Offtaken, LDZ Offtake Total",2.538022581
2025-01-03,"NTS Energy Offtaken, Powerstations Total",0.633134403
2025-01-02,"NTS Energy Offtaken, Industrial Offtake Total",0.04391314
2025-01-02,"NTS Energy Offtaken, LDZ Offtake Total",2.378812009
2025-01-02,"NTS Energy Offtaken, Powerstations Total",0.425231825
2025-01-01,"NTS Energy Offtaken, Industrial Offtake Total",0.045986176
2025-01-01,"NTS Energy Offtaken, LDZ Offtake Total",1.728360567
2025-01-01,"NTS Energy Offtaken, Powerstations Total",0.16192327
2024-12-31,"NTS Energy Offtaken, Industrial Offtake Total",0.03946633
2024-12-31,"NTS Energy Offtaken, LDZ Offtake Total",1.666521791
2024-12-31,"NTS Energy Offtaken, Powerstations Total",0.189035087
2024-12-30,"NTS Energy Offtaken, Industrial Offtake Total",0.043001674
2024-12-30,"NTS Energy Offtaken, LDZ Offtake Total",1.719993444
2024-12-30,"NTS Energy Offtaken, Powerstations Total",0.203576194
2024-12-29,"NTS Energy Offtaken, Industrial Offtake Total",0.039616655
2024-12-29,"NTS Energy Offtaken, LDZ Offtake Total",1.773689521
2024-12-29,"NTS Energy Offtaken, Powerstations Total",0.240449166
2024-12-28,"NTS Energy Offtaken, Industrial Offtake Total",0.042887278
2024-12-28,"NTS Energy Offtaken, LDZ Offtake Total",1.86773037
2024-12-28,"NTS Energy Offtaken, Powerstations Total",0.555505173
2024-12-27,"NTS Energy Offtaken, Industrial Offtake Total",0.042432748
2024-12-27,"NTS Energy Offtaken, LDZ Offtake Total",1.850374546
2024-12-27,"NTS Energy Offtaken, Powerstations Total",0.703660705
2024-12-26,"NTS Energy Offtaken, Industrial Offtake Total",0.041900186
2024-12-26,"NTS Energy Offtaken, LDZ Offtake Total",1.592714342
2024-12-26,"NTS Energy Offtaken, Powerstations Total",0.501305292
2024-12-25,"NTS Energy Offtaken, Industrial Offtake Total",0.043163193
2024-12-25,"NTS Energy Offtaken, LDZ Offtake Total",1.407707868
2024-12-25,"NTS Energy Offtaken, Powerstations Total",0.242193519
2024-12-24,"NTS Energy Offtaken, Industrial Offtake Total",0.040276891
2024-12-24,"NTS Energy Offtaken, LDZ Offtake Total",1.535759905
2024-12-24,"NTS Energy Offtaken, Powerstations Total",0.258258213
2024-12-23,"NTS Energy Offtaken, Industrial Offtake Total",0.041857499
2024-12-23,"NTS Energy Offtaken, LDZ Offtake Total",2.03602837
2024-12-23,"NTS Energy Offtaken, Powerstations Total",0.403240285
2024-12-22,"NTS Energy Offtaken, Industrial Offtake Total",0.038745211
2024-12-22,"NTS Energy Offtaken, LDZ Offtake Total",2.075893954
2024-12-22,"NTS Energy Offtaken, Powerstations Total",0.156169094
2024-12-21,"NTS Energy Offtaken, Industrial Offtake Total",0.035775236
2024-12-21,"NTS Energy Offtaken, LDZ Offtake Total",1.817895957
2024-12-21,"NTS Energy Offtaken, Powerstations Total",0.188694639
2024-12-20,"NTS Energy Offtaken, Industrial Offtake Total",0.041284833
2024-12-20,"NTS Energy Offtaken, LDZ Offtake Total",2.044374628
2024-12-20,"NTS Energy Offtaken, Powerstations Total",0.252209259
2024-12-19,"NTS Energy Offtaken, Industrial Offtake Total",0.038881722
2024-12-19,"NTS Energy Offtaken, LDZ Offtake Total",1.990434851
2024-12-19,"NTS Energy Offtaken, Powerstations Total",0.223593298
2024-12-18,"NTS Energy Offtaken, Industrial Offtake Total",0.049192815
2024-12-18,"NTS Energy Offtaken, LDZ Offtake Total",1.575074538
2024-12-18,"NTS Energy Offtaken, Powerstations Total",0.261134286
2024-12-17,"NTS Energy Offtaken, Industrial Offtake Total",0.063041854
2024-12-17,"NTS Energy Offtaken, LDZ Offtake Total",1.784724461
2024-12-17,"NTS Energy Offtaken, Powerstations Total",0.427750831
2024-12-16,"NTS Energy Offtaken, Industrial Offtake Total",0.061720588
2024-12-16,"NTS Energy Offtaken, LDZ Offtake Total",1.689322298
2024-12-16,"NTS Energy Offtaken, Powerstations Total",0.280456348
2024-12-15,"NTS Energy Offtaken, Industrial Offtake Total",0.068507976
2024-12-15,"NTS Energy Offtaken, LDZ Offtake Total",1.65559443
2024-12-15,"NTS Energy Offtaken, Powerstations Total",0.171365054
2024-12-14,"NTS Energy Offtaken, Industrial Offtake Total",0.058702531
2024-12-14,"NTS Energy Offtaken, LDZ Offtake Total",1.904613335
2024-12-14,"NTS Energy Offtaken, Powerstations Total",0.395108154
2024-12-13,"NTS Energy Offtaken, Industrial Offtake Total",0.079571309
2024-12-13,"NTS Energy Offtaken, LDZ Offtake Total",2.143176737
2024-12-13,"NTS Energy Offtaken, Powerstations Total",0.970524051
2024-12-12,"NTS Energy Offtaken, Industrial Offtake Total",0.088704338
2024-12-12,"NTS Energy Offtaken, LDZ Offtake Total",2.213053864
2024-12-12,"NTS Energy Offtaken, Powerstations Total",1.115608477
2024-12-11,"NTS Energy Offtaken, Industrial Offtake Total",0.088908215
2024-12-11,"NTS Energy Offtaken, LDZ Offtake Total",2.29897419
2024-12-11,"NTS Energy Offtaken, Powerstations Total",1.098132986
2024-12-10,"NTS Energy Offtaken, Industrial Offtake Total",0.074503788
2024-12-10,"NTS Energy Offtaken, LDZ Offtake Total",2.240402821
2024-12-10,"NTS Energy Offtaken, Powerstations Total",0.95131484
2024-12-09,"NTS Energy Offtaken, Industrial Offtake Total",0.061391855
2024-12-09,"NTS Energy Offtaken, LDZ Offtake Total",2.136474761
2024-12-09,"NTS Energy Offtaken, Powerstations Total",0.530759913
2024-12-08,"NTS Energy Offtaken, Industrial Offtake Total",0.056500735
2024-12-08,"NTS Energy Offtaken, LDZ Offtake Total",2.058406428
2024-12-08,"NTS Energy Offtaken, Powerstations Total",0.177004854
2024-12-07,"NTS Energy Offtaken, Industrial Offtake Total",0.055614879
2024-12-07,"NTS Energy Offtaken, LDZ Offtake Total",1.997074052
2024-12-07,"NTS Energy Offtaken, Powerstations Total",0.221335631
2024-12-06,"NTS Energy Offtaken, Industrial Offtake Total",0.057295853
2024-12-06,"NTS Energy Offtaken, LDZ Offtake Total",1.917124707
2024-12-06,"NTS Energy Offtaken, Powerstations Total",0.414001192
2024-12-05,"NTS Energy Offtaken, Industrial Offtake Total",0.056337318
2024-12-05,"NTS Energy Offtaken, LDZ Offtake Total",1.713360304
2024-12-05,"NTS Energy Offtaken, Powerstations Total",0.291207272
2024-12-04,"NTS Energy Offtaken, Industrial Offtake Total",0.071925513
2024-12-04,"NTS Energy Offtaken, LDZ Offtake Total",2.083111155
2024-12-04,"NTS Energy Offtaken, Powerstations Total",0.712291558
2024-12-03,"NTS Energy Offtaken, Industrial Offtake Total",0.0752678
2024-12-03,"NTS Energy Offtaken, LDZ Offtake Total",2.098951024
2024-12-03,"NTS Energy Offtaken, Powerstations Total",0.854628796
2024-12-02,"NTS Energy Offtaken, Industrial Offtake Total",0.060977736
2024-12-02,"NTS Energy Offtaken, LDZ Offtake Total",1.777927805
2024-12-02,"NTS Energy Offtaken, Powerstations Total",0.522303884
2024-12-01,"NTS Energy Offtaken, Industrial Offtake Total",0.057664886
2024-12-01,"NTS Energy Offtaken, LDZ Offtake Total",1.357870366
2024-12-01,"NTS Energy Offtaken, Powerstations Total",0.275844868
2024-11-30,"NTS Energy Offtaken, Industrial Offtake Total",0.059822526
2024-11-30,"NTS Energy Offtaken, LDZ Offtake Total",1.460356444
2024-11-30,"NTS Energy Offtaken, Powerstations Total",0.330019499
2024-11-29,"NTS Energy Offtaken, Industrial Offtake Total",0.059128168
2024-11-29,"NTS Energy Offtaken, LDZ Offtake Total",1.967967772
2024-11-29,"NTS Energy Offtaken, Powerstations Total",0.472522765
2024-11-28,"NTS Energy Offtaken, Industrial Offtake Total",0.070778841
2024-11-28,"NTS Energy Offtaken, LDZ Offtake Total",2.400269612
2024-11-28,"NTS Energy Offtaken, Powerstations Total",0.731770638
2024-11-27,"NTS Energy Offtaken, Industrial Offtake Total",0.061981104
2024-11-27,"NTS Energy Offtaken, LDZ Offtake Total",2.138981984
2024-11-27,"NTS Energy Offtaken, Powerstations Total",0.781624067
2024-11-26,"NTS Energy Offtaken, Industrial Offtake Total",0.06135999
2024-11-26,"NTS Energy Offtaken, LDZ Offtake Total",1.954249327
2024-11-26,"NTS Energy Offtaken, Powerstations Total",0.777813319
2024-11-25,"NTS Energy Offtaken, Industrial Offtake Total",0.042142402
2024-11-25,"NTS Energy Offtaken, LDZ Offtake Total",1.703790022
2024-11-25,"NTS Energy Offtaken, Powerstations Total",0.304078721
2024-11-24,"NTS Energy Offtaken, Industrial Offtake Total",0.041329214
2024-11-24,"NTS Energy Offtaken, LDZ Offtake Total",1.377031671
2024-11-24,"NTS Energy Offtaken, Powerstations Total",0.195493153
2024-11-23,"NTS Energy Offtaken, Industrial Offtake Total",0.039298071
2024-11-23,"NTS Energy Offtaken, LDZ Offtake Total",1.94259006
2024-11-23,"NTS Energy Offtaken, Powerstations Total",0.239202433
2024-11-22,"NTS Energy Offtaken, Industrial Offtake Total",0.053588682
2024-11-22,"NTS Energy Offtaken, LDZ Offtake Total",2.428336337
2024-11-22,"NTS Energy Offtaken, Powerstations Total",0.629072012
2024-11-21,"NTS Energy Offtaken, Industrial Offtake Total",0.048754428
2024-11-21,"NTS Energy Offtaken, LDZ Offtake Total",2.582390014
2024-11-21,"NTS Energy Offtaken, Powerstations Total",0.715875532
2024-11-20,"NTS Energy Offtaken, Industrial Offtake Total",0.037463959
2024-11-20,"NTS Energy Offtaken, LDZ Offtake Total",2.494337565
2024-11-20,"NTS Energy Offtaken, Powerstations Total",0.55975364
2024-11-19,"NTS Energy Offtaken, Industrial Offtake Total",0.047174272
2024-11-19,"NTS Energy Offtaken, LDZ Offtake Total",2.28048584
2024-11-19,"NTS Energy Offtaken, Powerstations Total",0.56753758
2024-11-18,"NTS Energy Offtaken, Industrial Offtake Total",0.057884946
2024-11-18,"NTS Energy Offtaken, LDZ Offtake Total",1.985791141
2024-11-18,"NTS Energy Offtaken, Powerstations Total",0.693999726
2024-11-17,"NTS Energy Offtaken, Industrial Offtake Total",0.033541501
2024-11-17,"NTS Energy Offtaken, LDZ Offtake Total",1.64058672
2024-11-17,"NTS Energy Offtaken, Powerstations Total",0.311453714
2024-11-16,"NTS Energy Offtaken, Industrial Offtake Total",0.032642544
2024-11-16,"NTS Energy Offtaken, LDZ Offtake Total",1.50718862
2024-11-16,"NTS Energy Offtaken, Powerstations Total",0.263823682
2024-11-15,"NTS Energy Offtaken, Industrial Offtake Total",0.045201558
2024-11-15,"NTS Energy Offtaken, LDZ Offtake Total",1.604486474
2024-11-15,"NTS Energy Offtaken, Powerstations Total",0.592780984
2024-11-14,"NTS Energy Offtaken, Industrial Offtake Total",0.06364282
2024-11-14,"NTS Energy Offtaken, LDZ Offtake Total",1.525534485
2024-11-14,"NTS Energy Offtaken, Powerstations Total",0.712938537
2024-11-13,"NTS Energy Offtaken, Industrial Offtake Total",0.063853422
2024-11-13,"NTS Energy Offtaken, LDZ Offtake Total",1.640938134
2024-11-13,"NTS Energy Offtaken, Powerstations Total",0.731821235
2024-11-12,"NTS Energy Offtaken, Industrial Offtake Total",0.067158353
2024-11-12,"NTS Energy Offtaken, LDZ Offtake Total",1.728073859
2024-11-12,"NTS Energy Offtaken, Powerstations Total",0.698566829
2024-11-11,"NTS Energy Offtaken, Industrial Offtake Total",0.05582584
2024-11-11,"NTS Energy Offtaken, LDZ Offtake Total",1.521241074
2024-11-11,"NTS Energy Offtaken, Powerstations Total",0.530364741
2024-11-10,"NTS Energy Offtaken, Industrial Offtake Total",0.052142124
2024-11-10,"NTS Energy Offtaken, LDZ Offtake Total",1.425629135
2024-11-10,"NTS Energy Offtaken, Powerstations Total",0.512675054
2024-11-09,"NTS Energy Offtaken, Industrial Offtake Total",0.066136052
2024-11-09,"NTS Energy Offtaken, LDZ Offtake Total",1.490264771
2024-11-09,"NTS Energy Offtaken, Powerstations Total",0.666602532
2024-11-08,"NTS Energy Offtaken, Industrial Offtake Total",0.056440999
2024-11-08,"NTS Energy Offtaken, LDZ Offtake Total",1.527742073
2024-11-08,"NTS Energy Offtaken, Powerstations Total",0.721473252
2024-11-07,"NTS Energy Offtaken, Industrial Offtake Total",0.03584185
2024-11-07,"NTS Energy Offtaken, LDZ Offtake Total",1.415491573
2024-11-07,"NTS Energy Offtaken, Powerstations Total",0.680846771
2024-11-06,"NTS Energy Offtaken, Industrial Offtake Total",0.050736232
2024-11-06,"NTS Energy Offtaken, LDZ Offtake Total",1.351338286
2024-11-06,"NTS Energy Offtaken, Powerstations Total",0.819299362
2024-11-05,"NTS Energy Offtaken, Industrial Offtake Total",0.053186632
2024-11-05,"NTS Energy Offtaken, LDZ Offtake Total",1.41281668
2024-11-05,"NTS Energy Offtaken, Powerstations Total",0.883406705
2024-11-04,"NTS Energy Offtaken, Industrial Offtake Total",0.047839687
2024-11-04,"NTS Energy Offtaken, LDZ Offtake Total",1.345417261
2024-11-04,"NTS Energy Offtaken, Powerstations Total",0.891717717
2024-11-03,"NTS Energy Offtaken, Industrial Offtake Total",0.0442587
2024-11-03,"NTS Energy Offtaken, LDZ Offtake Total",1.192306303
2024-11-03,"NTS Energy Offtaken, Powerstations Total",0.655807984
2024-11-02,"NTS Energy Offtaken, Industrial Offtake Total",0.045416133
2024-11-02,"NTS Energy Offtaken, LDZ Offtake Total",1.133546763
2024-11-02,"NTS Energy Offtaken, Powerstations Total",0.547944543
2024-11-01,"NTS Energy Offtaken, Industrial Offtake Total",0.043741033
2024-11-01,"NTS Energy Offtaken, LDZ Offtake Total",1.229848894
2024-11-01,"NTS Energy Offtaken, Powerstations Total",0.594711083
2024-10-31,"NTS Energy Offtaken, Industrial Offtake Total",0.03669734
2024-10-31,"NTS Energy Offtaken, LDZ Offtake Total",1.166888275
2024-10-31,"NTS Energy Offtaken, Powerstations Total",0.473464556
2024-10-30,"NTS Energy Offtaken, Industrial Offtake Total",0.054330873
2024-10-30,"NTS Energy Offtaken, LDZ Offtake Total",1.147793076
2024-10-30,"NTS Energy Offtaken, Powerstations Total",0.654513084
2024-10-29,"NTS Energy Offtaken, Industrial Offtake Total",0.051429121
2024-10-29,"NTS Energy Offtaken, LDZ Offtake Total",1.046956215
2024-10-29,"NTS Energy Offtaken, Powerstations Total",0.725964501
2024-10-28,"NTS Energy Offtaken, Industrial Offtake Total",0.036834188
2024-10-28,"NTS Energy Offtaken, LDZ Offtake Total",1.110939588
2024-10-28,"NTS Energy Offtaken, Powerstations Total",0.52254041
2024-10-27,"NTS Energy Offtaken, Industrial Offtake Total",0.03468239
2024-10-27,"NTS Energy Offtaken, LDZ Offtake Total",1.143055686
2024-10-27,"NTS Energy Offtaken, Powerstations Total",0.241537313
2024-10-26,"NTS Energy Offtaken, Industrial Offtake Total",0.037260178
2024-10-26,"NTS Energy Offtaken, LDZ Offtake Total",1.091955342
2024-10-26,"NTS Energy Offtaken, Powerstations Total",0.341383194
2024-10-25,"NTS Energy Offtaken, Industrial Offtake Total",0.056784251
2024-10-25,"NTS Energy Offtaken, LDZ Offtake Total",1.045121481
2024-10-25,"NTS Energy Offtaken, Powerstations Total",0.586989045
2024-10-24,"NTS Energy Offtaken, Industrial Offtake Total",0.034861409
2024-10-24,"NTS Energy Offtaken, LDZ Offtake Total",1.086594229
2024-10-24,"NTS Energy Offtaken, Powerstations Total",0.379504418
2024-10-23,"NTS Energy Offtaken, Industrial Offtake Total",0.042341415
2024-10-23,"NTS Energy Offtaken, LDZ Offtake Total",1.137340366
2024-10-23,"NTS Energy Offtaken, Powerstations Total",0.510733411
2024-10-22,"NTS Energy Offtaken, Industrial Offtake Total",0.049776316
2024-10-22,"NTS Energy Offtaken, LDZ Offtake Total",1.160262018
2024-10-22,"NTS Energy Offtaken, Powerstations Total",0.506921145
2024-10-21,"NTS Energy Offtaken, Industrial Offtake Total",0.034033295
2024-10-21,"NTS Energy Offtaken, LDZ Offtake Total",1.16905298
2024-10-21,"NTS Energy Offtaken, Powerstations Total",0.385629543
2024-10-20,"NTS Energy Offtaken, Industrial Offtake Total",0.030486881
2024-10-20,"NTS Energy Offtaken, LDZ Offtake Total",1.011271956
2024-10-20,"NTS Energy Offtaken, Powerstations Total",0.238515279
2024-10-19,"NTS Energy Offtaken, Industrial Offtake Total",0.030780505
2024-10-19,"NTS Energy Offtaken, LDZ Offtake Total",0.901304791
2024-10-19,"NTS Energy Offtaken, Powerstations Total",0.377003864
2024-10-18,"NTS Energy Offtaken, Industrial Offtake Total",0.029666186
2024-10-18,"NTS Energy Offtaken, LDZ Offtake Total",1.037150963
2024-10-18,"NTS Energy Offtaken, Powerstations Total",0.410495009
2024-10-17,"NTS Energy Offtaken, Industrial Offtake Total",0.029239056
2024-10-17,"NTS Energy Offtaken, LDZ Offtake Total",0.946005518
2024-10-17,"NTS Energy Offtaken, Powerstations Total",0.48316307
2024-10-16,"NTS Energy Offtaken, Industrial Offtake Total",0.030021791
2024-10-16,"NTS Energy Offtaken, LDZ Offtake Total",0.993498685
2024-10-16,"NTS Energy Offtaken, Powerstations Total",0.435029646
2024-10-15,"NTS Energy Offtaken, Industrial Offtake Total",0.03056834
2024-10-15,"NTS Energy Offtaken, LDZ Offtake Total",1.244527658
2024-10-15,"NTS Energy Offtaken, Powerstations Total",0.394280118
2024-10-14,"NTS Energy Offtaken, Industrial Offtake Total",0.048220249
2024-10-14,"NTS Energy Offtaken, LDZ Offtake Total",1.460771398
2024-10-14,"NTS Energy Offtaken, Powerstations Total",0.678427878
2024-10-13,"NTS Energy Offtaken, Industrial Offtake Total",0.046651765
2024-10-13,"NTS Energy Offtaken, LDZ Offtake Total",1.496826335
2024-10-13,"NTS Energy Offtaken, Powerstations Total",0.511975194
2024-10-12,"NTS Energy Offtaken, Industrial Offtake Total",0.030122146
2024-10-12,"NTS Energy Offtaken, LDZ Offtake Total",1.267344324
2024-10-12,"NTS Energy Offtaken, Powerstations Total",0.181749244
2024-10-11,"NTS Energy Offtaken, Industrial Offtake Total",0.035602741
2024-10-11,"NTS Energy Offtaken, LDZ Offtake Total",1.379522686
2024-10-11,"NTS Energy Offtaken, Powerstations Total",0.46849698
2024-10-10,"NTS Energy Offtaken, Industrial Offtake Total",0.039008241
2024-10-10,"NTS Energy Offtaken, LDZ Offtake Total",1.259057978
2024-10-10,"NTS Energy Offtaken, Powerstations Total",0.38908438
2024-10-09,"NTS Energy Offtaken, Industrial Offtake Total",0.029526098
2024-10-09,"NTS Energy Offtaken, LDZ Offtake Total",1.005766558
2024-10-09,"NTS Energy Offtaken, Powerstations Total",0.333039062
2024-10-08,"NTS Energy Offtaken, Industrial Offtake Total",0.033383684
2024-10-08,"NTS Energy Offtaken, LDZ Offtake Total",0.91246704
2024-10-08,"NTS Energy Offtaken, Powerstations Total",0.379382219
2024-10-07,"NTS Energy Offtaken, Industrial Offtake Total",0.038371428
2024-10-07,"NTS Energy Offtaken, LDZ Offtake Total",0.915319588
2024-10-07,"NTS Energy Offtaken, Powerstations Total",0.441646994
2024-10-06,"NTS Energy Offtaken, Industrial Offtake Total",0.028188463
2024-10-06,"NTS Energy Offtaken, LDZ Offtake Total",0.948216163
2024-10-06,"NTS Energy Offtaken, Powerstations Total",0.233508337
2024-10-05,"NTS Energy Offtaken, Industrial Offtake Total",0.026338261
2024-10-05,"NTS Energy Offtaken, LDZ Offtake Total",0.917678471
2024-10-05,"NTS Energy Offtaken, Powerstations Total",0.152488183
2024-10-04,"NTS Energy Offtaken, Industrial Offtake Total",0.029033977
2024-10-04,"NTS Energy Offtaken, LDZ Offtake Total",1.105347096
2024-10-04,"NTS Energy Offtaken, Powerstations Total",0.368281286
